genre,type,episodes,rating
6.827524903715562,1665,1.0,8.27
6.56929304436407,3568,25.0,8.27
6.677116963687304,3568,13.0,8.27
6.977464503042602,2258,1.0,8.27
6.284144075535356,3246,12.0,8.26
6.725508825594233,606,6.0,8.26
6.725508825594233,2258,1.0,8.26
6.875922157730817,3568,26.0,8.26
6.835586612541214,3246,13.0,8.26
7.196361905741921,3568,11.0,8.26
6.908100924778509,3568,25.0,8.25
6.958536097520363,2258,1.0,8.25
6.864096677101894,3568,75.0,8.25
6.78663448895346,3568,102.0,8.25
6.6274346525033225,3568,13.0,8.25
6.914495245729263,3568,24.0,8.25
6.840960085076533,3568,96.0,8.25
6.832134730573838,3568,12.0,8.26
6.852897778963967,3568,50.0,8.25
6.825912829298298,3246,8.0,8.25
6.8718314743622715,3568,12.0,8.24
6.795188939191917,3568,24.0,8.24
6.8945815312219665,3568,12.0,8.24
6.91002702744828,2258,1.0,8.24
6.878132192199184,3568,38.0,8.24
6.94329948093057,3568,11.0,8.24
6.816022506530013,3568,25.0,8.24
6.801409267964847,3568,25.0,8.24
6.907642380220061,3568,13.0,8.24
6.884370505206519,3246,13.0,8.24
6.741344829125037,3568,26.0,8.24
6.789959996867093,3568,24.0,8.23
6.958536097520363,2258,1.0,8.23
7.008674029524751,3568,12.0,8.23
6.787689074727382,1665,1.0,8.23
6.932829355439527,3568,51.0,8.23
6.9909901875986575,3568,24.0,8.23
6.864401376745704,1665,1.0,8.23
6.795188939191917,3568,26.0,8.23
6.827643401014482,3568,24.0,8.23
6.842480975485302,3568,24.0,8.23
6.359434462461111,2258,1.0,8.23
6.782172477086138,3568,38.0,8.23
6.834681115328797,2258,1.0,8.23
6.921705711552216,3246,2.0,8.23
6.880772099718644,3568,79.0,8.22
6.78663448895346,3568,175.0,8.22
6.945168598169837,1665,1.0,8.22
6.816022506530013,3568,13.0,8.22
6.888517389816015,3568,39.0,8.22
6.6909454149138865,2258,1.0,8.22
6.958536097520363,2258,1.0,8.21
6.712344125405113,2258,1.0,8.21
6.801247381127925,3568,12.0,8.21
6.832623160392768,2258,1.0,8.21
7.07716243460244,2258,1.0,8.21
6.801409267964847,3568,25.0,8.21
6.959304817266418,3568,11.0,8.21
6.959304817266418,3568,4.0,8.21
6.865027262464648,3568,22.0,8.2
6.79634929398995,1665,3.0,8.2
6.954061656221403,3568,25.0,8.2
6.807591435998917,3568,103.0,8.2
6.796412824730311,3246,24.0,8.2
6.756904073857389,1665,1.0,8.2
6.814187902049987,2258,1.0,8.2
6.76045256734095,3568,25.0,8.2
6.711887048732699,3568,13.0,8.2
6.799048416719416,3568,39.0,8.2
6.8945815312219665,2258,1.0,8.2
6.909644001455145,2258,1.0,8.19
6.860286300662386,3568,26.0,8.19
6.814550311513083,3568,50.0,8.19
6.923288440838412,1665,1.0,8.19
6.696252204057254,1665,1.0,8.19
6.787689074727382,3246,2.0,8.19
6.873909246085482,3568,75.0,8.19
6.902780337124159,3568,25.0,8.19
6.890737737908709,1665,4.0,8.19
6.977464503042602,3568,11.0,8.19
6.839637090286924,3568,70.0,8.18
7.053809717829973,3568,12.0,8.18
6.854858532664241,3568,11.0,8.18
7.014947536184745,3568,24.0,8.18
6.876226857374627,3568,102.0,8.18
6.55065552437048,2258,1.0,8.18
6.744720594862548,3246,3.0,8.18
6.8945815312219665,3246,2.0,8.18
6.795458612421178,3568,13.0,8.18
6.876636867979455,3568,12.0,8.17
7.048571431443093,2258,1.0,8.17
6.7908820389387925,3246,1.0,8.17
7.013827661331367,3568,26.0,8.17
6.985750830387076,3568,22.0,8.17
6.589112796047858,487,1.0,8.17
6.932121580478544,3568,24.0,8.17
6.902780337124159,3568,12.0,8.17
6.898752931400928,3568,12.0,8.17
6.8589066842335455,2258,1.0,8.17
6.973155436986069,3246,2.0,8.17
6.936478933603786,3568,24.0,8.17
6.8143961420632015,1665,1.0,8.16
6.958536097520363,2258,1.0,8.16
6.958536097520363,2258,1.0,8.16
6.805297938346979,3568,153.0,8.16
6.842156601359035,3568,25.0,8.16
6.8945815312219665,3568,12.0,8.16
6.805617201770799,3568,45.0,8.16
6.876082880238403,2258,1.0,8.16
6.809285811397142,3568,26.0,8.16
6.802534970494389,3246,1.0,8.16
7.028265955099215,3568,26.0,8.16
6.795458612421178,2258,1.0,8.16
6.799508010354749,3568,24.0,8.16
6.923473041095382,3568,101.0,8.16
6.864401376745704,3568,38.0,8.16
6.781153761200344,2258,1.0,8.15
6.876636867979455,3246,5.0,8.15
7.008674029524751,3568,12.0,8.15
6.7657396640762215,1665,1.0,8.15
6.835817506502042,2258,1.0,8.15
6.8480306537727635,3246,10.0,8.15
6.881203986802085,3568,24.0,8.15
6.90778351246983,2258,1.0,8.15
6.864096677101894,3246,7.0,8.15
6.917965332390408,3568,26.0,8.15
6.8945815312219665,3568,12.0,8.15
6.885806411681079,3568,12.0,8.14
6.925097910925696,1665,1.0,8.14
6.89203396149189,3568,21.0,8.14
6.795188939191917,3568,14.0,8.14
6.572915243545538,3568,26.0,8.14
6.812557971127951,3568,25.0,8.14
6.866953873948422,2258,1.0,8.14
6.71038892192186,3568,26.0,8.14
6.79634929398995,3246,1.0,8.13
6.958536097520363,2258,1.0,8.13
6.787865835140863,2258,1.0,8.13
6.742958540353369,1665,1.0,8.13
6.860529505924677,3568,24.0,8.13
6.8143504246067055,3568,13.0,8.13
7.045289062971088,2258,1.0,8.13
6.846490721441626,3246,12.0,8.13
6.583259908847957,2258,1.0,8.13
6.844177077608336,3568,13.0,8.13
6.888519209391734,3246,4.0,8.13
6.885937646226379,3568,13.0,8.12
6.819054756167766,2258,1.0,8.12
6.929435753360255,3568,63.0,8.12
7.008674029524751,3568,12.0,8.12
7.070299496213713,3568,12.0,8.12
6.871523236303182,2258,1.0,8.12
6.712344125405113,1665,1.0,8.12
6.838816022523839,3568,52.0,8.12
6.795188939191917,3568,13.0,8.12
6.933933509246913,3568,12.0,8.12
6.86355711430832,3246,2.0,8.12
6.630168605183771,2258,1.0,8.12
6.892051891910089,3568,25.0,8.12
6.898239731532355,3568,13.0,8.12
6.879327961488549,1665,4.0,8.11
6.959304817266418,3568,5.0,8.11
6.899408825208051,3568,13.0,8.11
6.711887048732699,3568,25.0,8.11
6.842480975485302,3568,24.0,8.11
6.788095340919129,2258,1.0,8.1
6.887260762304347,2258,1.0,8.11
6.819624359309728,606,5.0,8.11
6.973155436986069,3568,24.0,8.11
6.908048646411808,2258,3.0,8.1
6.867568595107108,1665,1.0,8.1
6.843828441029535,3246,28.0,8.1
6.859051549840622,3568,39.0,8.1
6.678012618296516,2258,1.0,8.1
6.82464419481235,3568,13.0,8.1
6.929013735694966,3246,2.0,8.1
6.787689074727382,3568,12.0,8.1
6.808920830479896,2258,1.0,8.09
6.908100924778509,1665,4.0,8.09
6.732907328071111,606,12.0,8.11
